email,name,return_path,metadata,substitution_data,tags
fakespark+1261@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""music""}","{""gender"": ""female"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""music""}","[""Digest""]"
fakespark+1885@server.talonphotography.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""New York"", ""country"": ""US"", ""interests"": ""reading""}","{""gender"": ""female"", ""city"": ""New York"", ""country"": ""US"", ""interests"": ""reading""}","[""Flash Sale""]"
fakespark+4566@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""sports""}","{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""sports""}","[""Weekly""]"
fakespark+153@incoming.bloggersofbeer.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""sports""}","{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""sports""}","[""Monthly""]"
fakespark+3218@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""reading""}","{""gender"": ""male"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""reading""}","[""Weekly""]"
fakespark+1034@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""movies""}","{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""movies""}","[""Digest""]"
fakespark+233@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""sports""}","{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""sports""}","[""Monthly""]"
fakespark+2123@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""sports""}","{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""sports""}","[""Monthly""]"
fakespark+1442@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""movies""}","{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""movies""}","[""Flash Sale""]"
fakespark+3638@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""movies""}","{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""movies""}","[""Monthly""]"
fakespark+1178@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""photography""}","{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""photography""}","[""Monthly""]"
fakespark+83@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""music""}","{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""music""}","[""Monthly""]"
fakespark+248@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""sports""}","{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""sports""}","[""Monthly""]"
fakespark+3816@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""photography""}","{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""photography""}","[""Weekly""]"
fakespark+2672@server.talonphotography.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""music""}","{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""music""}","[""Daily""]"
fakespark+3624@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""exercise""}","{""gender"": ""female"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""exercise""}","[""Digest""]"
fakespark+556@incoming.bloggersofbeer.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""music""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""music""}","[""Weekly""]"
fakespark+2172@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""photography""}","{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""photography""}","[""Daily""]"
fakespark+88@incoming.bloggersofbeer.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","[""Monthly""]"
fakespark+339@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""sports""}","{""gender"": ""male"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""sports""}","[""Digest""]"
fakespark+3319@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","[""Digest""]"
fakespark+3132@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""reading""}","{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""reading""}","[""Daily""]"
fakespark+1080@server.talonphotography.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""reading""}","{""gender"": ""male"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""reading""}","[""Flash Sale""]"
fakespark+991@ex.hashtagbeerporn.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""sports""}","{""gender"": ""male"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""sports""}","[""Monthly""]"
fakespark+4375@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""music""}","{""gender"": ""male"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""music""}","[""Flash Sale""]"
fakespark+839@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""exercise""}","{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""exercise""}","[""Daily""]"
fakespark+338@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""sports""}","{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""sports""}","[""Monthly""]"
fakespark+465@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""photography""}","{""gender"": ""female"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""photography""}","[""Monthly""]"
fakespark+178@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""photography""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""photography""}","[""Weekly""]"
fakespark+1752@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""photography""}","{""gender"": ""female"", ""city"": ""London"", ""country"": ""England"", ""interests"": ""photography""}","[""Daily""]"
fakespark+910@incoming.bloggersofbeer.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""reading""}","{""gender"": ""male"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""reading""}","[""Flash Sale""]"
fakespark+4871@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""movies""}","{""gender"": ""male"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""movies""}","[""Weekly""]"
fakespark+1697@incoming.bloggersofbeer.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""music""}","{""gender"": ""female"", ""city"": ""Paris"", ""country"": ""France"", ""interests"": ""music""}","[""Daily""]"
fakespark+1628@incoming.bloggersofbeer.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""programming""}","{""gender"": ""male"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""programming""}","[""Monthly""]"
fakespark+1331@incoming.bloggersofbeer.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""exercise""}","{""gender"": ""female"", ""city"": ""Sydney"", ""country"": ""Australia"", ""interests"": ""exercise""}","[""Weekly""]"
fakespark+2658@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","[""Monthly""]"
fakespark+2208@server.talonphotography.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","{""gender"": ""male"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","[""Monthly""]"
fakespark+1654@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","[""Daily""]"
fakespark+1964@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""reading""}","{""gender"": ""female"", ""city"": ""Baltimore"", ""country"": ""US"", ""interests"": ""reading""}","[""Digest""]"
fakespark+3823@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""photography""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""photography""}","[""Monthly""]"
fakespark+4170@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","{""gender"": ""female"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","[""Flash Sale""]"
fakespark+3099@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","{""gender"": ""male"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""exercise""}","[""Digest""]"
fakespark+1528@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","[""Weekly""]"
fakespark+4507@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""music""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""music""}","[""Daily""]"
fakespark+2577@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""photography""}","{""gender"": ""male"", ""city"": ""Seattle"", ""country"": ""US"", ""interests"": ""photography""}","[""Daily""]"
fakespark+288@eastmail.independentbeers.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""photography""}","{""gender"": ""female"", ""city"": ""Rio de Janeiro"", ""country"": ""Brazil"", ""interests"": ""photography""}","[""Monthly""]"
fakespark+127@spin.vinylverb.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""female"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""music""}","{""gender"": ""female"", ""city"": ""Boston"", ""country"": ""US"", ""interests"": ""music""}","[""Flash Sale""]"
fakespark+1177@mx2.deadboltemail.com,Fake Spark,bounce@sp-send.deadboltemail.com,"{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","{""gender"": ""male"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""interests"": ""programming""}","[""Daily""]"
